"TimeSk","TimeValue","hour_of_day_24","hour_of_day_12","string_representation_12","string_representation_24","FourGroupHourKey","FourHourGroup","EightGroupHourKey","EightHourGroup","TwelveGroupHourKey","TwelveHourGroup","am_pm"
"0","00:00:00","0","12","12:00","00:00","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"1","00:01:00","0","12","12:01","00:01","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"2","00:02:00","0","12","12:02","00:02","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"3","00:03:00","0","12","12:03","00:03","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"4","00:04:00","0","12","12:04","00:04","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"5","00:05:00","0","12","12:05","00:05","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"6","00:06:00","0","12","12:06","00:06","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"7","00:07:00","0","12","12:07","00:07","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"8","00:08:00","0","12","12:08","00:08","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"9","00:09:00","0","12","12:09","00:09","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"10","00:10:00","0","12","12:10","00:10","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"11","00:11:00","0","12","12:11","00:11","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"12","00:12:00","0","12","12:12","00:12","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"13","00:13:00","0","12","12:13","00:13","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"14","00:14:00","0","12","12:14","00:14","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"15","00:15:00","0","12","12:15","00:15","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"16","00:16:00","0","12","12:16","00:16","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"17","00:17:00","0","12","12:17","00:17","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"18","00:18:00","0","12","12:18","00:18","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"19","00:19:00","0","12","12:19","00:19","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"20","00:20:00","0","12","12:20","00:20","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"21","00:21:00","0","12","12:21","00:21","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"22","00:22:00","0","12","12:22","00:22","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"23","00:23:00","0","12","12:23","00:23","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"24","00:24:00","0","12","12:24","00:24","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"25","00:25:00","0","12","12:25","00:25","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"26","00:26:00","0","12","12:26","00:26","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"27","00:27:00","0","12","12:27","00:27","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"28","00:28:00","0","12","12:28","00:28","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"29","00:29:00","0","12","12:29","00:29","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"30","00:30:00","0","12","12:30","00:30","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"31","00:31:00","0","12","12:31","00:31","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"32","00:32:00","0","12","12:32","00:32","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"33","00:33:00","0","12","12:33","00:33","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"34","00:34:00","0","12","12:34","00:34","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"35","00:35:00","0","12","12:35","00:35","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"36","00:36:00","0","12","12:36","00:36","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"37","00:37:00","0","12","12:37","00:37","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"38","00:38:00","0","12","12:38","00:38","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"39","00:39:00","0","12","12:39","00:39","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"40","00:40:00","0","12","12:40","00:40","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"41","00:41:00","0","12","12:41","00:41","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"42","00:42:00","0","12","12:42","00:42","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"43","00:43:00","0","12","12:43","00:43","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"44","00:44:00","0","12","12:44","00:44","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"45","00:45:00","0","12","12:45","00:45","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"46","00:46:00","0","12","12:46","00:46","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"47","00:47:00","0","12","12:47","00:47","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"48","00:48:00","0","12","12:48","00:48","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"49","00:49:00","0","12","12:49","00:49","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"50","00:50:00","0","12","12:50","00:50","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"51","00:51:00","0","12","12:51","00:51","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"52","00:52:00","0","12","12:52","00:52","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"53","00:53:00","0","12","12:53","00:53","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"54","00:54:00","0","12","12:54","00:54","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"55","00:55:00","0","12","12:55","00:55","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"56","00:56:00","0","12","12:56","00:56","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"57","00:57:00","0","12","12:57","00:57","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"58","00:58:00","0","12","12:58","00:58","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"59","00:59:00","0","12","12:59","00:59","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"60","01:00:00","1","1","01:00","01:00","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"61","01:01:00","1","1","01:01","01:01","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"62","01:02:00","1","1","01:02","01:02","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"63","01:03:00","1","1","01:03","01:03","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"64","01:04:00","1","1","01:04","01:04","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"65","01:05:00","1","1","01:05","01:05","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"66","01:06:00","1","1","01:06","01:06","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"67","01:07:00","1","1","01:07","01:07","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"68","01:08:00","1","1","01:08","01:08","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"69","01:09:00","1","1","01:09","01:09","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"70","01:10:00","1","1","01:10","01:10","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"71","01:11:00","1","1","01:11","01:11","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"72","01:12:00","1","1","01:12","01:12","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"73","01:13:00","1","1","01:13","01:13","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"74","01:14:00","1","1","01:14","01:14","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"75","01:15:00","1","1","01:15","01:15","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"76","01:16:00","1","1","01:16","01:16","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"77","01:17:00","1","1","01:17","01:17","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"78","01:18:00","1","1","01:18","01:18","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"79","01:19:00","1","1","01:19","01:19","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"80","01:20:00","1","1","01:20","01:20","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"81","01:21:00","1","1","01:21","01:21","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"82","01:22:00","1","1","01:22","01:22","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"83","01:23:00","1","1","01:23","01:23","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"84","01:24:00","1","1","01:24","01:24","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"85","01:25:00","1","1","01:25","01:25","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"86","01:26:00","1","1","01:26","01:26","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"87","01:27:00","1","1","01:27","01:27","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"88","01:28:00","1","1","01:28","01:28","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"89","01:29:00","1","1","01:29","01:29","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"90","01:30:00","1","1","01:30","01:30","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"91","01:31:00","1","1","01:31","01:31","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"92","01:32:00","1","1","01:32","01:32","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"93","01:33:00","1","1","01:33","01:33","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"94","01:34:00","1","1","01:34","01:34","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"95","01:35:00","1","1","01:35","01:35","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"96","01:36:00","1","1","01:36","01:36","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"97","01:37:00","1","1","01:37","01:37","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"98","01:38:00","1","1","01:38","01:38","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"99","01:39:00","1","1","01:39","01:39","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"100","01:40:00","1","1","01:40","01:40","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"101","01:41:00","1","1","01:41","01:41","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"102","01:42:00","1","1","01:42","01:42","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"103","01:43:00","1","1","01:43","01:43","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"104","01:44:00","1","1","01:44","01:44","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"105","01:45:00","1","1","01:45","01:45","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"106","01:46:00","1","1","01:46","01:46","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"107","01:47:00","1","1","01:47","01:47","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"108","01:48:00","1","1","01:48","01:48","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"109","01:49:00","1","1","01:49","01:49","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"110","01:50:00","1","1","01:50","01:50","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"111","01:51:00","1","1","01:51","01:51","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"112","01:52:00","1","1","01:52","01:52","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"113","01:53:00","1","1","01:53","01:53","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"114","01:54:00","1","1","01:54","01:54","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"115","01:55:00","1","1","01:55","01:55","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"116","01:56:00","1","1","01:56","01:56","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"117","01:57:00","1","1","01:57","01:57","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"118","01:58:00","1","1","01:58","01:58","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"119","01:59:00","1","1","01:59","01:59","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"120","02:00:00","2","2","02:00","02:00","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"121","02:01:00","2","2","02:01","02:01","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"122","02:02:00","2","2","02:02","02:02","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"123","02:03:00","2","2","02:03","02:03","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"124","02:04:00","2","2","02:04","02:04","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"125","02:05:00","2","2","02:05","02:05","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"126","02:06:00","2","2","02:06","02:06","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"127","02:07:00","2","2","02:07","02:07","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"128","02:08:00","2","2","02:08","02:08","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"129","02:09:00","2","2","02:09","02:09","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"130","02:10:00","2","2","02:10","02:10","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"131","02:11:00","2","2","02:11","02:11","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"132","02:12:00","2","2","02:12","02:12","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"133","02:13:00","2","2","02:13","02:13","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"134","02:14:00","2","2","02:14","02:14","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"135","02:15:00","2","2","02:15","02:15","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"136","02:16:00","2","2","02:16","02:16","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"137","02:17:00","2","2","02:17","02:17","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"138","02:18:00","2","2","02:18","02:18","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"139","02:19:00","2","2","02:19","02:19","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"140","02:20:00","2","2","02:20","02:20","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"141","02:21:00","2","2","02:21","02:21","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"142","02:22:00","2","2","02:22","02:22","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"143","02:23:00","2","2","02:23","02:23","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"144","02:24:00","2","2","02:24","02:24","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"145","02:25:00","2","2","02:25","02:25","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"146","02:26:00","2","2","02:26","02:26","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
"147","02:27:00","2","2","02:27","02:27","0","00:00 - 03:59","0","00:00 - 07:59","0","00:00 - 11:59","AM"
